#node	identifier	node_degree
ACP5	9606.ENSP00000468767	1
ADAR	9606.ENSP00000357459	6
AGXT	9606.ENSP00000302620	0
CECR1	9606.ENSP00000382731	0
CLCNKB	9606.ENSP00000364831	1
COL4A1	9606.ENSP00000364979	1
COQ2	9606.ENSP00000310873	0
GUCY1A3	9606.ENSP00000296518	0
IFIH1	9606.ENSP00000263642	9
IRAK1	9606.ENSP00000358997	4
LBR	9606.ENSP00000339883	2
LMNA	9606.ENSP00000357283	2
RNASEH2A	9606.ENSP00000221486	7
RNASEH2B	9606.ENSP00000337623	7
RNASEH2C	9606.ENSP00000308193	7
RNF125	9606.ENSP00000217740	1
SAMHD1	9606.ENSP00000262878	7
SLC12A3	9606.ENSP00000402152	1
SPP1	9606.ENSP00000378517	3
STAT4	9606.ENSP00000376134	2
TMEM173	9606.ENSP00000331288	6
TREX1	9606.ENSP00000296443	5
ZMPSTE24	9606.ENSP00000361845	2
